week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
1,BAY,HOF,Bet365,1.2,7.0,13.0,166.0,W
1,BAY,HOF,Bet365,1.2,7.0,15.0,166.0,W
1,BAY,HOF,Bet365,1.16,7.5,17.0,324.0,W
1,BAY,HOF,Bet365,1.2,7.5,12.0,669.0,W
1,BAY,HOF,Bet365,1.22,7.0,11.0,1190.0,W
1,BAY,HOF,Bet365,1.25,6.5,10.0,1255.0,W
1,BAY,HOF,Bet365,1.22,6.5,11.0,1333.0,W
1,BAY,HOF,Bet365,1.25,6.5,11.0,2442.0,W
1,BAY,HOF,Bet365,1.22,6.5,11.0,6616.0,W
1,BAY,HOF,Bet365,1.25,6.0,10.0,66126.0,W
1,BAY,HOF,WilliamHill,1.2,6.5,13.0,65.0,W
1,BAY,HOF,WilliamHill,1.18,7.0,13.0,69.0,W
1,BAY,HOF,WilliamHill,1.2,6.5,13.0,107.0,W
1,BAY,HOF,WilliamHill,1.17,7.0,15.0,163.0,W
1,BAY,HOF,WilliamHill,1.2,6.5,13.0,167.0,W
1,BAY,HOF,WilliamHill,1.17,7.5,13.0,306.0,W
1,BAY,HOF,WilliamHill,1.17,7.0,15.0,316.0,W
1,BAY,HOF,WilliamHill,1.17,7.5,13.0,504.0,W
1,BAY,HOF,WilliamHill,1.17,8.0,13.0,535.0,W
1,BAY,HOF,WilliamHill,1.18,7.5,12.0,549.0,W
1,BAY,HOF,WilliamHill,1.17,8.0,13.0,573.0,W
1,BAY,HOF,WilliamHill,1.18,7.5,12.0,579.0,W
1,BAY,HOF,WilliamHill,1.17,8.0,13.0,595.0,W
1,BAY,HOF,WilliamHill,1.18,7.5,12.0,621.0,W
1,BAY,HOF,WilliamHill,1.17,8.0,13.0,677.0,W
1,BAY,HOF,WilliamHill,1.18,7.5,12.0,715.0,W
1,BAY,HOF,WilliamHill,1.17,8.0,13.0,730.0,W
1,BAY,HOF,WilliamHill,1.18,7.5,12.0,736.0,W
1,BAY,HOF,WilliamHill,1.2,7.0,12.0,982.0,W
1,BAY,HOF,WilliamHill,1.22,7.0,10.0,1429.0,W
1,BAY,HOF,WilliamHill,1.25,6.5,9.5,1665.0,W
1,BAY,HOF,WilliamHill,1.22,7.0,10.0,1702.0,W
1,BAY,HOF,WilliamHill,1.25,6.5,9.5,1717.0,W
1,BAY,HOF,WilliamHill,1.22,7.0,10.0,1727.0,W
1,BAY,HOF,WilliamHill,1.25,6.5,9.5,1772.0,W
1,BAY,HOF,WilliamHill,1.22,7.0,10.0,1812.0,W
