week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
25,BRM,SCH,Bet365,2.10,3.50,3.40,121.0,W
25,BRM,SCH,Bet365,2.05,3.50,3.60,325.0,W
25,BRM,SCH,Bet365,2.10,3.50,3.50,349.0,W
25,BRM,SCH,Bet365,2.05,3.50,3.60,716.0,W
25,BRM,SCH,Bet365,2.10,3.50,3.50,732.0,W
25,BRM,SCH,Bet365,2.00,3.50,3.80,1840.0,W
25,BRM,SCH,Bet365,2.05,3.40,3.80,2411.0,W
25,BRM,SCH,Bet365,1.95,3.40,3.90,5968.0,W
25,BRM,SCH,Bet365,2.00,3.40,3.80,6190.0,W
25,BRM,SCH,Bet365,2.00,3.40,3.75,16144.0,W
25,BRM,SCH,Bet365,2.10,3.40,3.40,17108.0,W
25,BRM,SCH,WilliamHill,2.20,3.40,3.30,1.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.40,27.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.50,30.0,W
25,BRM,SCH,WilliamHill,2.10,3.50,3.50,45.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.40,51.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.50,57.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.40,60.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.50,63.0,W
25,BRM,SCH,WilliamHill,2.10,3.40,3.60,66.0,W
25,BRM,SCH,WilliamHill,2.15,3.40,3.50,114.0,W
25,BRM,SCH,WilliamHill,2.10,3.40,3.60,163.0,W
25,BRM,SCH,WilliamHill,2.05,3.50,3.60,189.0,W
25,BRM,SCH,WilliamHill,2.10,3.40,3.60,369.0,W
25,BRM,SCH,WilliamHill,2.05,3.40,3.70,372.0,W
25,BRM,SCH,WilliamHill,2.10,3.40,3.60,375.0,W
25,BRM,SCH,WilliamHill,2.05,3.40,3.70,532.0,W
25,BRM,SCH,WilliamHill,2.05,3.50,3.70,544.0,W
25,BRM,SCH,WilliamHill,2.05,3.40,3.70,570.0,W
