week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
1,GIR,VLL,Bet365,1.72,3.6,5.25,52,D
1,GIR,VLL,Bet365,1.75,3.6,5,1918,D
1,GIR,VLL,Bet365,1.75,3.4,5.5,1943,D
1,GIR,VLL,Bet365,1.8,3.4,5,2504,D
1,GIR,VLL,Bet365,1.8,3.4,4.75,31532,D
1,GIR,VLL,WilliamHill,1.75,3.4,5,11,D
1,GIR,VLL,WilliamHill,1.7,3.3,5.8,15,D
1,GIR,VLL,WilliamHill,1.75,3.4,5,19,D
1,GIR,VLL,WilliamHill,1.75,3.3,5.5,22,D
1,GIR,VLL,WilliamHill,1.75,3.4,5,42,D
1,GIR,VLL,WilliamHill,1.8,3.25,5,50,D
1,GIR,VLL,WilliamHill,1.8,3.2,5,54,D
1,GIR,VLL,WilliamHill,1.85,3.25,4.6,122,D
1,GIR,VLL,WilliamHill,1.83,3.4,4.4,154,D
1,GIR,VLL,WilliamHill,1.8,3.4,4.6,174,D
1,GIR,VLL,WilliamHill,1.83,3.4,4.4,178,D
1,GIR,VLL,WilliamHill,1.8,3.4,4.6,182,D
1,GIR,VLL,WilliamHill,1.83,3.4,4.4,199,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,212,D
1,GIR,VLL,WilliamHill,1.8,3.4,4.6,216,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,256,D
1,GIR,VLL,WilliamHill,1.8,3.4,4.6,432,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,488,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,495,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,499,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,522,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,526,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,530,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,548,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,584,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,588,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,634,D
1,GIR,VLL,WilliamHill,1.75,3.7,4.5,638,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,700,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,793,D
1,GIR,VLL,WilliamHill,1.75,3.7,4.5,818,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,838,D
1,GIR,VLL,WilliamHill,1.75,3.7,4.5,1023,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,1522,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,1526,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,1745,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,1753,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,1867,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,1891,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,1940,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,1943,D
1,GIR,VLL,WilliamHill,1.75,3.6,4.6,1946,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.4,6154,D
1,GIR,VLL,WilliamHill,1.75,3.7,4.5,7024,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,7161,D
1,GIR,VLL,WilliamHill,1.75,3.7,4.5,9271,D
1,GIR,VLL,WilliamHill,1.75,3.5,4.75,11607,D
1,GIR,VLL,WilliamHill,1.73,3.7,4.6,11938,D
1,GIR,VLL,WilliamHill,1.75,3.7,4.6,12128,D
1,GIR,VLL,WilliamHill,1.8,3.6,4.4,13170,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.6,14549,D
1,GIR,VLL,WilliamHill,1.8,3.6,4.4,14722,D
1,GIR,VLL,WilliamHill,1.8,3.5,4.6,30821,D
1,GIR,VLL,WilliamHill,1.57,3.6,5,33605,D
1,GIR,VLL,WilliamHill,1.57,3.75,4.5,34883,D
1,GIR,VLL,Bwin,1.78,3.5,5,251,D
1,GIR,VLL,Bwin,1.75,3.5,5.25,765,D
1,GIR,VLL,Bwin,1.72,3.5,5,1878,D
1,GIR,VLL,Bwin,1.78,3.4,4.75,19539,D
1,GIR,VLL,Bwin,1.72,3.4,5,33612,D
1,GIR,VLL,12Bet,1.75,3.55,5,4,D
1,GIR,VLL,12Bet,1.75,3.6,4.95,5,D
1,GIR,VLL,12Bet,1.74,3.6,5,8,D
1,GIR,VLL,12Bet,1.73,3.6,5.1,15,D
1,GIR,VLL,12Bet,1.73,3.65,5.1,16,D
1,GIR,VLL,12Bet,1.73,3.6,5.1,19,D
1,GIR,VLL,12Bet,1.72,3.65,5.1,20,D
1,GIR,VLL,12Bet,1.74,3.6,5,49,D
1,GIR,VLL,12Bet,1.73,3.65,5.1,49,D
1,GIR,VLL,12Bet,1.74,3.6,5,49,D
1,GIR,VLL,12Bet,1.73,3.65,5.1,50,D
1,GIR,VLL,12Bet,1.75,3.6,4.9,53,D
1,GIR,VLL,12Bet,1.76,3.6,4.85,57,D
1,GIR,VLL,12Bet,1.75,3.6,4.9,57,D
1,GIR,VLL,12Bet,1.76,3.6,4.85,58,D
1,GIR,VLL,12Bet,1.8,3.55,4.65,59,D
1,GIR,VLL,12Bet,1.83,3.55,4.5,66,D
1,GIR,VLL,12Bet,1.83,3.5,4.5,75,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,75,D
1,GIR,VLL,12Bet,1.83,3.5,4.5,76,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,79,D
1,GIR,VLL,12Bet,1.82,3.5,4.6,80,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,81,D
1,GIR,VLL,12Bet,1.83,3.55,4.5,94,D
1,GIR,VLL,12Bet,1.83,3.5,4.55,95,D
1,GIR,VLL,12Bet,1.83,3.55,4.5,105,D
1,GIR,VLL,12Bet,1.83,3.55,4.45,107,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,114,D
1,GIR,VLL,12Bet,1.83,3.55,4.45,115,D
1,GIR,VLL,12Bet,1.81,3.6,4.5,127,D
1,GIR,VLL,12Bet,1.82,3.55,4.5,141,D
1,GIR,VLL,12Bet,1.81,3.6,4.55,153,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,166,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,166,D
1,GIR,VLL,12Bet,1.83,3.55,4.45,166,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,167,D
1,GIR,VLL,12Bet,1.8,3.6,4.6,178,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,188,D
1,GIR,VLL,12Bet,1.81,3.6,4.55,190,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,196,D
1,GIR,VLL,12Bet,1.8,3.6,4.6,197,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,198,D
1,GIR,VLL,12Bet,1.8,3.6,4.6,198,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,211,D
1,GIR,VLL,12Bet,1.8,3.6,4.6,218,D
1,GIR,VLL,12Bet,1.8,3.55,4.6,224,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,238,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,245,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,248,D
1,GIR,VLL,12Bet,1.81,3.55,4.55,249,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,253,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,253,D
1,GIR,VLL,12Bet,1.8,3.55,4.65,259,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,321,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,332,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,333,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,333,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,336,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,368,D
1,GIR,VLL,12Bet,1.81,3.55,4.5,369,D
1,GIR,VLL,12Bet,1.81,3.6,4.55,371,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,411,D
1,GIR,VLL,12Bet,1.82,3.55,4.55,413,D
1,GIR,VLL,12Bet,1.81,3.55,4.65,415,D
1,GIR,VLL,12Bet,1.83,3.55,4.6,421,D
1,GIR,VLL,12Bet,1.83,3.5,4.6,423,D
1,GIR,VLL,12Bet,1.83,3.55,4.55,440,D
1,GIR,VLL,12Bet,1.84,3.55,4.5,441,D
1,GIR,VLL,12Bet,1.83,3.55,4.55,495,D
1,GIR,VLL,12Bet,1.81,3.55,4.6,497,D
1,GIR,VLL,12Bet,1.81,3.55,4.65,498,D
