week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
2,GET,EIB,Bet365,2.10,3.10,3.80,107.0,W
2,GET,EIB,Bet365,2.05,3.10,4.00,115.0,W
2,GET,EIB,Bet365,1.95,3.20,4.33,692.0,W
2,GET,EIB,Bet365,2.00,3.20,4.20,1231.0,W
2,GET,EIB,Bet365,2.00,3.30,4.20,1846.0,W
2,GET,EIB,Bet365,2.10,3.25,3.80,2405.0,W
2,GET,EIB,Bet365,2.00,3.25,3.80,2725.0,W
2,GET,EIB,Bet365,1.95,3.20,4.20,3526.0,W
2,GET,EIB,Bet365,2.00,3.25,3.90,4450.0,W
2,GET,EIB,Bet365,2.05,3.25,3.75,9232.0,W
2,GET,EIB,Bet365,2.15,3.20,3.50,11788.0,W
2,GET,EIB,WilliamHill,2.20,3.00,3.70,72.0,W
2,GET,EIB,WilliamHill,2.10,3.20,3.70,95.0,W
2,GET,EIB,WilliamHill,2.15,3.10,3.70,103.0,W
2,GET,EIB,WilliamHill,2.10,3.20,3.70,109.0,W
2,GET,EIB,WilliamHill,2.15,3.00,3.80,112.0,W
2,GET,EIB,WilliamHill,2.10,3.10,3.80,115.0,W
2,GET,EIB,WilliamHill,2.05,3.10,4.00,119.0,W
2,GET,EIB,WilliamHill,2.00,3.10,4.20,132.0,W
2,GET,EIB,WilliamHill,2.05,2.90,4.40,143.0,W
2,GET,EIB,WilliamHill,2.10,2.90,4.20,177.0,W
2,GET,EIB,WilliamHill,2.05,2.90,4.40,180.0,W
2,GET,EIB,WilliamHill,1.95,3.10,4.33,206.0,W
2,GET,EIB,WilliamHill,1.91,3.10,4.50,209.0,W
2,GET,EIB,WilliamHill,1.95,3.10,4.33,213.0,W
2,GET,EIB,WilliamHill,1.91,3.10,4.50,231.0,W
2,GET,EIB,WilliamHill,1.95,3.10,4.33,827.0,W
2,GET,EIB,WilliamHill,2.00,3.20,3.90,830.0,W
2,GET,EIB,WilliamHill,1.95,3.10,4.33,1260.0,W
2,GET,EIB,WilliamHill,1.95,3.25,4.20,1366.0,W
2,GET,EIB,WilliamHill,1.95,3.10,4.33,1422.0,W
2,GET,EIB,WilliamHill,1.95,3.25,4.20,1582.0,W
2,GET,EIB,WilliamHill,2.00,3.20,3.90,1702.0,W
2,GET,EIB,WilliamHill,1.95,3.10,4.33,1726.0,W
2,GET,EIB,WilliamHill,2.00,3.20,3.90,2159.0,W
2,GET,EIB,WilliamHill,2.05,3.20,3.75,2594.0,W
