week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
1,MAR,TOU,Bet365,1.44,4.33,7.5,79.0,W
1,MAR,TOU,Bet365,1.4,4.5,8.0,499.0,W
1,MAR,TOU,Bet365,1.44,4.33,8.0,2593.0,W
1,MAR,TOU,Bet365,1.36,4.2,10.5,3085.0,W
1,MAR,TOU,Bet365,1.4,4.2,9.0,45980.0,W
1,MAR,TOU,WilliamHill,1.53,4.0,6.5,64.0,W
1,MAR,TOU,WilliamHill,1.44,4.4,7.0,98.0,W
1,MAR,TOU,WilliamHill,1.44,4.2,7.5,119.0,W
1,MAR,TOU,WilliamHill,1.44,4.4,7.0,122.0,W
1,MAR,TOU,WilliamHill,1.4,4.4,8.0,258.0,W
1,MAR,TOU,WilliamHill,1.44,4.2,7.5,351.0,W
1,MAR,TOU,WilliamHill,1.44,4.4,7.0,358.0,W
1,MAR,TOU,WilliamHill,1.44,4.2,7.5,387.0,W
1,MAR,TOU,WilliamHill,1.4,4.4,8.0,747.0,W
1,MAR,TOU,WilliamHill,1.44,4.2,7.5,750.0,W
1,MAR,TOU,WilliamHill,1.4,4.4,8.0,3153.0,W
1,MAR,TOU,WilliamHill,1.44,4.4,7.0,3663.0,W
1,MAR,TOU,WilliamHill,1.4,4.4,8.0,5870.0,W
1,MAR,TOU,WilliamHill,1.4,4.6,7.5,6182.0,W
1,MAR,TOU,WilliamHill,1.4,4.4,8.0,6419.0,W
1,MAR,TOU,WilliamHill,1.4,4.2,9.0,6453.0,W
1,MAR,TOU,WilliamHill,1.36,4.6,8.5,6527.0,W
1,MAR,TOU,WilliamHill,1.4,4.4,8.0,6555.0,W
1,MAR,TOU,WilliamHill,1.36,4.6,8.5,11490.0,W
1,MAR,TOU,WilliamHill,1.4,4.2,8.0,14504.0,W
1,MAR,TOU,WilliamHill,1.36,4.6,8.5,14506.0,W
1,MAR,TOU,WilliamHill,1.4,4.2,8.0,14548.0,W
1,MAR,TOU,WilliamHill,1.36,4.6,8.5,14555.0,W
1,MAR,TOU,WilliamHill,1.4,4.2,8.0,14561.0,W
1,MAR,TOU,WilliamHill,1.36,4.6,8.5,43983.0,W
1,MAR,TOU,WilliamHill,1.36,5.0,8.0,47481.0,W
1,MAR,TOU,WilliamHill,1.4,4.2,8.0,69840.0,W
1,MAR,TOU,Bwin,1.4,4.5,8.75,729.0,W
1,MAR,TOU,Bwin,1.42,4.4,8.5,1176.0,W
