week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
15,STE,NAN,Bet365,2.00,3.30,4.00,232.0,W
15,STE,NAN,Bet365,2.05,3.30,3.80,277.0,W
15,STE,NAN,Bet365,2.05,3.40,3.75,703.0,W
15,STE,NAN,Bet365,2.15,3.30,3.60,1373.0,W
15,STE,NAN,Bet365,2.05,3.30,3.80,2033.0,W
15,STE,NAN,Bet365,2.10,3.30,3.75,2363.0,W
15,STE,NAN,Bet365,2.00,3.30,3.75,26227.0,W
15,STE,NAN,WilliamHill,1.95,3.40,4.00,22.0,W
15,STE,NAN,WilliamHill,1.95,3.40,3.90,208.0,W
15,STE,NAN,WilliamHill,2.00,3.30,3.90,230.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.80,253.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.80,277.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.75,286.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.80,324.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.80,345.0,W
15,STE,NAN,WilliamHill,2.00,3.30,3.90,371.0,W
15,STE,NAN,WilliamHill,1.95,3.40,4.00,406.0,W
15,STE,NAN,WilliamHill,1.95,3.30,4.00,424.0,W
15,STE,NAN,WilliamHill,1.95,3.40,4.00,430.0,W
15,STE,NAN,WilliamHill,1.95,3.30,4.00,438.0,W
15,STE,NAN,WilliamHill,2.00,3.30,3.90,591.0,W
15,STE,NAN,WilliamHill,2.00,3.25,3.90,601.0,W
15,STE,NAN,WilliamHill,2.00,3.30,3.90,611.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.80,616.0,W
15,STE,NAN,WilliamHill,2.00,3.30,3.90,711.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.80,778.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.75,798.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.80,844.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.75,858.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,1155.0,W
15,STE,NAN,WilliamHill,2.10,3.25,3.60,1437.0,W
15,STE,NAN,WilliamHill,2.10,3.30,3.60,1493.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,1574.0,W
15,STE,NAN,WilliamHill,2.05,3.40,3.60,1597.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,1681.0,W
15,STE,NAN,WilliamHill,2.10,3.30,3.60,1690.0,W
15,STE,NAN,WilliamHill,2.10,3.40,3.50,1804.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,1986.0,W
15,STE,NAN,WilliamHill,2.05,3.40,3.60,2029.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,2729.0,W
15,STE,NAN,WilliamHill,2.00,3.40,3.80,3108.0,W
15,STE,NAN,WilliamHill,2.00,3.40,3.75,19100.0,W
15,STE,NAN,WilliamHill,2.05,3.20,3.90,19333.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.75,20703.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.75,20707.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.75,20740.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.75,20744.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.75,21779.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.75,21784.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.75,22207.0,W
15,STE,NAN,WilliamHill,2.05,3.25,3.75,22210.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,23829.0,W
15,STE,NAN,WilliamHill,2.10,3.25,3.60,23960.0,W
15,STE,NAN,WilliamHill,2.05,3.30,3.70,24286.0,W
15,STE,NAN,WilliamHill,2.10,3.30,3.60,26214.0,W
15,STE,NAN,Bwin,2.00,3.30,4.00,69.0,W
15,STE,NAN,Bwin,2.05,3.30,3.90,241.0,W
15,STE,NAN,Bwin,2.00,3.30,4.10,264.0,W
15,STE,NAN,Bwin,2.05,3.30,3.90,322.0,W
15,STE,NAN,Bwin,2.00,3.30,4.10,414.0,W
15,STE,NAN,Bwin,2.10,3.25,3.75,1097.0,W
15,STE,NAN,Bwin,2.05,3.20,3.70,6515.0,W
15,STE,NAN,Bwin,2.05,3.10,3.70,23109.0,W
15,STE,NAN,Bwin,2.10,3.10,3.60,26504.0,W
15,STE,NAN,12Bet,2.01,3.40,3.55,2.0,W
15,STE,NAN,12Bet,1.99,3.40,3.60,5.0,W
15,STE,NAN,12Bet,1.99,3.45,3.55,15.0,W
15,STE,NAN,12Bet,1.99,3.40,3.55,15.0,W
15,STE,NAN,12Bet,1.99,3.45,3.55,22.0,W
15,STE,NAN,12Bet,1.98,3.45,3.55,25.0,W
15,STE,NAN,12Bet,1.97,3.45,3.60,26.0,W
15,STE,NAN,12Bet,2.02,3.40,3.50,43.0,W
15,STE,NAN,12Bet,2.02,3.40,3.45,52.0,W
15,STE,NAN,12Bet,2.02,3.45,3.45,60.0,W
15,STE,NAN,12Bet,2.02,3.40,3.50,131.0,W
15,STE,NAN,12Bet,2.02,3.45,3.45,131.0,W
15,STE,NAN,12Bet,2.01,3.45,3.50,139.0,W
15,STE,NAN,12Bet,2.02,3.45,3.45,154.0,W
15,STE,NAN,12Bet,2.01,3.45,3.50,173.0,W
15,STE,NAN,12Bet,1.99,3.45,3.50,176.0,W
15,STE,NAN,12Bet,1.99,3.45,3.55,177.0,W
15,STE,NAN,12Bet,1.99,3.40,3.55,179.0,W
15,STE,NAN,12Bet,2.01,3.40,3.50,182.0,W
15,STE,NAN,12Bet,2.01,3.45,3.50,191.0,W
15,STE,NAN,12Bet,2.02,3.45,3.45,194.0,W
