week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
7,CHI,VAN,Bet365,1.44,4.75,6.00,97.0,D
7,CHI,VAN,Bet365,1.50,4.75,5.50,268.0,D
7,CHI,VAN,Bet365,1.57,4.50,4.75,2459.0,D
7,CHI,VAN,Bet365,1.60,4.50,4.50,3497.0,D
7,CHI,VAN,Bet365,1.57,4.50,4.75,3538.0,D
7,CHI,VAN,Bet365,1.61,4.50,4.50,3562.0,D
7,CHI,VAN,WilliamHill,1.47,4.40,6.00,91.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,6.00,95.0,D
7,CHI,VAN,WilliamHill,1.47,4.40,6.00,97.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,6.00,103.0,D
7,CHI,VAN,WilliamHill,1.47,4.40,6.00,120.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,6.00,123.0,D
7,CHI,VAN,WilliamHill,1.47,4.40,6.00,143.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,5.80,149.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,6.00,178.0,D
7,CHI,VAN,WilliamHill,1.47,4.40,6.00,198.0,D
7,CHI,VAN,WilliamHill,1.50,4.40,5.80,204.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,5.80,210.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,6.00,224.0,D
7,CHI,VAN,WilliamHill,1.50,4.33,5.80,253.0,D
7,CHI,VAN,WilliamHill,1.52,4.33,5.50,259.0,D
7,CHI,VAN,WilliamHill,1.53,4.20,5.50,268.0,D
7,CHI,VAN,WilliamHill,1.55,4.20,5.25,302.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,470.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.25,504.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,564.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.25,569.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,655.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.25,724.0,D
7,CHI,VAN,WilliamHill,1.60,4.00,5.25,743.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,837.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.25,891.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,1259.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,5.00,1479.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,1485.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,5.00,1501.0,D
7,CHI,VAN,WilliamHill,1.60,4.00,5.25,1670.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,5.00,1719.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,4.80,1726.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,2233.0,D
7,CHI,VAN,WilliamHill,1.55,4.40,5.00,2444.0,D
7,CHI,VAN,WilliamHill,1.57,4.40,4.80,2447.0,D
7,CHI,VAN,WilliamHill,1.57,4.20,5.00,2468.0,D
7,CHI,VAN,WilliamHill,1.57,4.33,5.00,2475.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,4.80,2478.0,D
7,CHI,VAN,WilliamHill,1.57,4.33,5.00,2542.0,D
7,CHI,VAN,WilliamHill,1.60,4.33,4.80,2671.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,4.80,2969.0,D
7,CHI,VAN,WilliamHill,1.61,4.20,4.75,3260.0,D
7,CHI,VAN,WilliamHill,1.63,4.20,4.60,3276.0,D
7,CHI,VAN,WilliamHill,1.61,4.20,4.60,3283.0,D
7,CHI,VAN,WilliamHill,1.60,4.20,4.80,3296.0,D
7,CHI,VAN,WilliamHill,1.60,4.33,4.75,3303.0,D
7,CHI,VAN,WilliamHill,1.60,4.33,4.60,3326.0,D
7,CHI,VAN,WilliamHill,1.60,4.40,4.60,3435.0,D
7,CHI,VAN,WilliamHill,1.60,4.33,4.60,3491.0,D
7,CHI,VAN,WilliamHill,1.57,4.40,4.80,3505.0,D
7,CHI,VAN,WilliamHill,1.60,4.40,4.60,3526.0,D
7,CHI,VAN,WilliamHill,1.60,4.40,4.50,3537.0,D
