week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
1,MU,LEI,Bet365,1.55,4,7.5,57,W
1,MU,LEI,Bet365,1.57,3.9,7.5,57,W
1,MU,LEI,Bet365,1.55,4,7.5,58,W
1,MU,LEI,Bet365,1.57,3.9,7.5,539,W
1,MU,LEI,Bet365,1.55,4,8,540,W
1,MU,LEI,Bet365,1.57,3.9,7.5,540,W
1,MU,LEI,Bet365,1.55,4,8,567,W
1,MU,LEI,Bet365,1.53,4,8,711,W
1,MU,LEI,Bet365,1.5,4.2,8,818,W
1,MU,LEI,Bet365,1.53,4.2,7.5,1188,W
1,MU,LEI,Bet365,1.5,4.2,8,3885,W
1,MU,LEI,Bet365,1.45,4.2,7.5,4603,W
1,MU,LEI,Bet365,1.4,4.33,8.5,5310,W
1,MU,LEI,Bet365,1.4,4.33,8,5952,W
1,MU,LEI,Bet365,1.45,4.2,7.5,12564,W
1,MU,LEI,Bet365,1.45,4,7.5,13414,W
1,MU,LEI,Bet365,1.44,4.2,7.5,36222,W
1,MU,LEI,Bet365,1.36,4.5,9,82456,W
1,MU,LEI,Bet365,1.4,4.33,8.5,82712,W
1,MU,LEI,WilliamHill,1.57,3.9,6.5,19,W
1,MU,LEI,WilliamHill,1.55,3.9,6,53,W
1,MU,LEI,WilliamHill,1.57,3.8,6,103,W
1,MU,LEI,WilliamHill,1.57,3.9,5.8,112,W
1,MU,LEI,WilliamHill,1.57,3.8,6,528,W
1,MU,LEI,WilliamHill,1.57,3.9,5.8,545,W
1,MU,LEI,WilliamHill,1.57,3.8,6,556,W
1,MU,LEI,WilliamHill,1.57,3.9,5.8,568,W
1,MU,LEI,WilliamHill,1.5,4,7,798,W
1,MU,LEI,WilliamHill,1.5,3.9,7,801,W
1,MU,LEI,WilliamHill,1.5,4,7,1322,W
1,MU,LEI,WilliamHill,1.5,3.9,7,1336,W
1,MU,LEI,WilliamHill,1.5,4,7,1341,W
1,MU,LEI,WilliamHill,1.5,3.9,7,1805,W
1,MU,LEI,WilliamHill,1.5,4,7,1968,W
1,MU,LEI,WilliamHill,1.5,3.9,7,1970,W
1,MU,LEI,WilliamHill,1.5,4,7,2477,W
1,MU,LEI,WilliamHill,1.5,3.9,7,4489,W
1,MU,LEI,WilliamHill,1.5,4,7,4604,W
1,MU,LEI,WilliamHill,1.44,4.33,7,5666,W
1,MU,LEI,WilliamHill,1.44,4.4,7,5674,W
1,MU,LEI,WilliamHill,1.44,4.33,7,7285,W
1,MU,LEI,WilliamHill,1.5,4,7,7696,W
1,MU,LEI,WilliamHill,1.44,4.33,7,8457,W
1,MU,LEI,WilliamHill,1.5,4,7,8470,W
1,MU,LEI,WilliamHill,1.44,4,8,9430,W
1,MU,LEI,WilliamHill,1.44,4.33,7,9438,W
1,MU,LEI,WilliamHill,1.4,4.4,8,12017,W
1,MU,LEI,WilliamHill,1.44,4.2,7.5,13835,W
1,MU,LEI,WilliamHill,1.4,4.4,8,15682,W
