week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
9,CHE,MU,Bet365,1.75,3.90,5.00,75.0,D
9,CHE,MU,Bet365,1.80,3.80,4.75,96.0,D
9,CHE,MU,Bet365,1.75,3.90,5.00,114.0,D
9,CHE,MU,Bet365,1.70,4.00,5.25,381.0,D
9,CHE,MU,Bet365,1.72,3.90,5.25,1387.0,D
9,CHE,MU,Bet365,1.75,3.80,5.25,2467.0,D
9,CHE,MU,Bet365,1.75,3.90,5.00,2816.0,D
9,CHE,MU,Bet365,1.75,3.80,5.25,2864.0,D
9,CHE,MU,Bet365,1.75,3.90,5.00,3069.0,D
9,CHE,MU,Bet365,1.72,3.60,4.75,3534.0,D
9,CHE,MU,Bet365,1.70,3.80,4.75,5258.0,D
9,CHE,MU,Bet365,1.65,3.75,5.25,7655.0,D
9,CHE,MU,Bet365,1.66,3.75,5.00,17928.0,D
9,CHE,MU,Bet365,1.61,3.80,5.50,18493.0,D
9,CHE,MU,Bet365,1.66,3.75,5.00,18495.0,D
9,CHE,MU,Bet365,1.61,3.80,5.50,18496.0,D
9,CHE,MU,Bet365,1.66,3.75,5.00,23189.0,D
9,CHE,MU,Bet365,1.72,3.60,4.75,25047.0,D
9,CHE,MU,Bet365,1.66,3.60,5.25,25719.0,D
9,CHE,MU,Bet365,1.72,3.50,5.00,28325.0,D
9,CHE,MU,WilliamHill,1.75,3.80,4.50,68.0,D
9,CHE,MU,WilliamHill,1.78,3.70,4.50,73.0,D
9,CHE,MU,WilliamHill,1.80,3.70,4.33,84.0,D
9,CHE,MU,WilliamHill,1.80,3.60,4.50,89.0,D
9,CHE,MU,WilliamHill,1.80,3.70,4.33,95.0,D
9,CHE,MU,WilliamHill,1.83,3.70,4.33,107.0,D
9,CHE,MU,WilliamHill,1.80,3.75,4.40,113.0,D
9,CHE,MU,WilliamHill,1.78,3.75,4.50,118.0,D
9,CHE,MU,WilliamHill,1.78,3.80,4.50,124.0,D
9,CHE,MU,WilliamHill,1.75,3.80,4.60,156.0,D
9,CHE,MU,WilliamHill,1.78,3.80,4.50,162.0,D
9,CHE,MU,WilliamHill,1.75,3.80,4.60,168.0,D
9,CHE,MU,WilliamHill,1.78,3.75,4.60,198.0,D
9,CHE,MU,WilliamHill,1.78,3.75,4.50,209.0,D
9,CHE,MU,WilliamHill,1.75,3.80,4.60,229.0,D
9,CHE,MU,WilliamHill,1.78,3.70,4.60,233.0,D
9,CHE,MU,WilliamHill,1.75,3.80,4.60,243.0,D
9,CHE,MU,WilliamHill,1.75,3.75,4.75,248.0,D
9,CHE,MU,WilliamHill,1.75,3.80,4.60,257.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.80,262.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.75,271.0,D
9,CHE,MU,WilliamHill,1.73,3.90,4.75,275.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.75,279.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.80,315.0,D
9,CHE,MU,WilliamHill,1.70,3.90,4.80,350.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.80,361.0,D
9,CHE,MU,WilliamHill,1.70,3.90,4.80,376.0,D
9,CHE,MU,WilliamHill,1.67,4.00,4.80,427.0,D
9,CHE,MU,WilliamHill,1.70,3.80,4.80,436.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,440.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.60,498.0,D
9,CHE,MU,WilliamHill,1.70,3.80,4.80,533.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.60,536.0,D
9,CHE,MU,WilliamHill,1.70,3.80,4.80,1270.0,D
9,CHE,MU,WilliamHill,1.70,4.00,4.60,1277.0,D
9,CHE,MU,WilliamHill,1.70,3.80,4.80,1395.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.60,1620.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,1731.0,D
9,CHE,MU,WilliamHill,1.70,3.80,4.80,1773.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.60,2229.0,D
9,CHE,MU,WilliamHill,1.70,4.00,4.60,2299.0,D
9,CHE,MU,WilliamHill,1.73,3.80,4.60,2378.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,2399.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.75,2672.0,D
9,CHE,MU,WilliamHill,1.75,3.75,4.60,2680.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.75,2854.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,2858.0,D
9,CHE,MU,WilliamHill,1.75,3.75,4.60,2955.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,3032.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.75,3051.0,D
9,CHE,MU,WilliamHill,1.78,3.70,4.60,3057.0,D
9,CHE,MU,WilliamHill,1.78,3.60,4.60,3148.0,D
9,CHE,MU,WilliamHill,1.78,3.70,4.50,3152.0,D
9,CHE,MU,WilliamHill,1.78,3.60,4.60,3164.0,D
9,CHE,MU,WilliamHill,1.78,3.70,4.50,3202.0,D
9,CHE,MU,WilliamHill,1.78,3.70,4.60,3536.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.75,3681.0,D
9,CHE,MU,WilliamHill,1.75,3.75,4.60,3972.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.75,4043.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4158.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4161.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4164.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4208.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4217.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4262.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4308.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4334.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4446.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4466.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4534.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4618.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,4623.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,4990.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.75,5259.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,5427.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,5510.0,D
9,CHE,MU,WilliamHill,1.75,3.70,4.80,5541.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,5552.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.75,5555.0,D
9,CHE,MU,WilliamHill,1.73,3.75,4.80,7102.0,D
9,CHE,MU,WilliamHill,1.70,3.80,5.00,7192.0,D
9,CHE,MU,WilliamHill,1.67,3.90,5.00,7489.0,D
