week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
33,PAR,MIL,Bet365,5.50,3.80,1.65,5.0,D
33,PAR,MIL,Bet365,5.75,3.80,1.61,63.0,D
33,PAR,MIL,Bet365,6.50,3.80,1.61,86.0,D
33,PAR,MIL,Bet365,5.75,3.75,1.65,1637.0,D
33,PAR,MIL,Bet365,5.00,3.60,1.75,3242.0,D
33,PAR,MIL,Bet365,4.75,3.50,1.75,3775.0,D
33,PAR,MIL,Bet365,4.33,3.50,1.83,7718.0,D
33,PAR,MIL,Bet365,4.75,3.50,1.75,7798.0,D
33,PAR,MIL,Bet365,4.50,3.50,1.80,16449.0,D
33,PAR,MIL,Bet365,4.33,3.50,1.75,16838.0,D
33,PAR,MIL,Bet365,4.75,3.60,1.70,16857.0,D
33,PAR,MIL,Bet365,6.00,3.80,1.55,17177.0,D
33,PAR,MIL,Bet365,6.50,4.00,1.50,17197.0,D
33,PAR,MIL,Bet365,6.00,4.00,1.55,17201.0,D
33,PAR,MIL,Bet365,5.75,3.80,1.60,17219.0,D
33,PAR,MIL,WilliamHill,5.80,3.70,1.65,22.0,D
33,PAR,MIL,WilliamHill,6.00,3.75,1.63,26.0,D
33,PAR,MIL,WilliamHill,6.00,3.75,1.61,38.0,D
33,PAR,MIL,WilliamHill,6.00,3.70,1.63,45.0,D
33,PAR,MIL,WilliamHill,6.00,3.75,1.61,57.0,D
33,PAR,MIL,WilliamHill,5.80,3.80,1.61,61.0,D
33,PAR,MIL,WilliamHill,6.00,3.80,1.60,68.0,D
33,PAR,MIL,WilliamHill,6.00,3.75,1.61,71.0,D
33,PAR,MIL,WilliamHill,5.80,3.80,1.61,71.0,D
33,PAR,MIL,WilliamHill,6.00,3.75,1.61,101.0,D
33,PAR,MIL,WilliamHill,5.80,3.80,1.61,106.0,D
33,PAR,MIL,WilliamHill,6.00,3.75,1.61,125.0,D
33,PAR,MIL,WilliamHill,5.80,3.75,1.63,150.0,D
33,PAR,MIL,WilliamHill,5.80,3.80,1.61,202.0,D
33,PAR,MIL,WilliamHill,5.80,3.80,1.63,211.0,D
33,PAR,MIL,WilliamHill,5.80,3.75,1.63,314.0,D
33,PAR,MIL,WilliamHill,5.80,3.70,1.65,321.0,D
33,PAR,MIL,WilliamHill,5.80,3.75,1.63,355.0,D
33,PAR,MIL,WilliamHill,5.80,3.70,1.65,358.0,D
33,PAR,MIL,WilliamHill,5.80,3.75,1.63,1048.0,D
33,PAR,MIL,WilliamHill,5.80,3.70,1.65,1129.0,D
33,PAR,MIL,WilliamHill,5.50,3.70,1.67,1165.0,D
33,PAR,MIL,WilliamHill,5.80,3.60,1.67,1228.0,D
33,PAR,MIL,WilliamHill,5.50,3.60,1.70,2025.0,D
33,PAR,MIL,WilliamHill,5.25,3.60,1.73,3925.0,D
33,PAR,MIL,WilliamHill,5.25,3.50,1.75,4020.0,D
33,PAR,MIL,WilliamHill,5.00,3.50,1.78,4025.0,D
33,PAR,MIL,WilliamHill,5.25,3.50,1.75,4178.0,D
33,PAR,MIL,WilliamHill,5.00,3.50,1.78,4182.0,D
33,PAR,MIL,WilliamHill,5.25,3.40,1.78,4376.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,4388.0,D
33,PAR,MIL,WilliamHill,5.25,3.40,1.78,4405.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,4421.0,D
33,PAR,MIL,WilliamHill,5.25,3.40,1.78,6876.0,D
33,PAR,MIL,WilliamHill,5.00,3.50,1.78,6943.0,D
33,PAR,MIL,WilliamHill,5.25,3.40,1.78,6953.0,D
33,PAR,MIL,WilliamHill,4.80,3.40,1.83,6957.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,6975.0,D
33,PAR,MIL,WilliamHill,5.25,3.40,1.78,6980.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,6993.0,D
33,PAR,MIL,WilliamHill,5.25,3.40,1.78,7721.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,8340.0,D
33,PAR,MIL,WilliamHill,5.00,3.50,1.78,15285.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,16736.0,D
33,PAR,MIL,WilliamHill,4.80,3.40,1.83,16803.0,D
33,PAR,MIL,WilliamHill,5.00,3.40,1.80,16847.0,D
33,PAR,MIL,WilliamHill,4.80,3.50,1.80,16850.0,D
33,PAR,MIL,WilliamHill,5.25,3.50,1.75,16853.0,D
33,PAR,MIL,WilliamHill,5.25,3.60,1.73,16855.0,D
33,PAR,MIL,WilliamHill,5.50,3.60,1.70,16858.0,D
33,PAR,MIL,WilliamHill,5.25,3.80,1.67,16998.0,D
33,PAR,MIL,WilliamHill,6.50,3.70,1.60,17093.0,D
33,PAR,MIL,WilliamHill,6.50,3.75,1.60,17167.0,D
33,PAR,MIL,WilliamHill,6.50,3.90,1.57,17173.0,D
33,PAR,MIL,Bwin,5.75,3.60,1.67,1083.0,D
33,PAR,MIL,Bwin,5.50,3.60,1.70,1257.0,D
33,PAR,MIL,Bwin,5.00,3.50,1.72,7328.0,D
33,PAR,MIL,Bwin,4.60,3.50,1.75,16417.0,D
33,PAR,MIL,12Bet,5.40,3.65,1.69,16.0,D
33,PAR,MIL,12Bet,5.30,3.60,1.71,21.0,D
33,PAR,MIL,12Bet,5.60,3.65,1.67,27.0,D
33,PAR,MIL,12Bet,5.50,3.70,1.67,33.0,D
33,PAR,MIL,12Bet,5.70,3.70,1.66,48.0,D
33,PAR,MIL,12Bet,5.80,3.75,1.64,50.0,D
33,PAR,MIL,12Bet,5.90,3.75,1.64,52.0,D
33,PAR,MIL,12Bet,5.80,3.75,1.64,58.0,D
33,PAR,MIL,12Bet,5.90,3.75,1.64,62.0,D
33,PAR,MIL,12Bet,5.70,3.70,1.66,77.0,D
33,PAR,MIL,12Bet,5.80,3.65,1.66,79.0,D
33,PAR,MIL,12Bet,5.20,3.85,1.67,90.0,D
33,PAR,MIL,12Bet,5.30,3.80,1.67,99.0,D
33,PAR,MIL,12Bet,5.40,3.80,1.66,116.0,D
33,PAR,MIL,12Bet,5.30,3.80,1.67,132.0,D
33,PAR,MIL,12Bet,5.40,3.75,1.67,256.0,D
33,PAR,MIL,12Bet,5.30,3.80,1.67,261.0,D
33,PAR,MIL,12Bet,5.10,3.75,1.71,324.0,D
33,PAR,MIL,12Bet,5.10,3.70,1.71,328.0,D
33,PAR,MIL,12Bet,5.30,3.75,1.68,357.0,D
33,PAR,MIL,12Bet,5.80,3.55,1.68,396.0,D
33,PAR,MIL,12Bet,5.70,3.55,1.69,572.0,D
33,PAR,MIL,12Bet,5.30,3.45,1.69,669.0,D
33,PAR,MIL,12Bet,5.40,3.40,1.69,729.0,D
33,PAR,MIL,12Bet,5.60,3.40,1.68,1111.0,D
33,PAR,MIL,12Bet,5.70,3.40,1.67,1134.0,D
33,PAR,MIL,12Bet,5.50,3.35,1.69,1157.0,D
33,PAR,MIL,12Bet,5.40,3.35,1.71,2180.0,D
33,PAR,MIL,12Bet,5.30,3.35,1.72,2733.0,D
33,PAR,MIL,12Bet,5.20,3.40,1.72,2820.0,D
33,PAR,MIL,12Bet,5.40,3.40,1.70,2891.0,D
33,PAR,MIL,12Bet,5.20,3.40,1.72,3661.0,D
33,PAR,MIL,12Bet,5.40,3.40,1.70,3665.0,D
33,PAR,MIL,12Bet,5.10,3.35,1.74,3776.0,D
33,PAR,MIL,12Bet,5.20,3.40,1.72,3788.0,D
33,PAR,MIL,12Bet,5.10,3.35,1.74,3790.0,D
33,PAR,MIL,12Bet,4.85,3.30,1.78,4183.0,D
33,PAR,MIL,12Bet,4.75,3.30,1.80,4564.0,D
33,PAR,MIL,12Bet,4.85,3.30,1.78,5115.0,D
33,PAR,MIL,12Bet,4.95,3.35,1.76,6631.0,D
33,PAR,MIL,12Bet,4.75,3.30,1.80,6778.0,D
33,PAR,MIL,12Bet,4.75,3.30,1.79,6882.0,D
33,PAR,MIL,12Bet,4.65,3.30,1.81,7805.0,D
33,PAR,MIL,12Bet,4.05,3.30,1.82,7830.0,D
33,PAR,MIL,12Bet,3.95,3.30,1.84,8009.0,D
33,PAR,MIL,12Bet,4.00,3.30,1.82,8012.0,D
33,PAR,MIL,12Bet,3.90,3.30,1.85,8341.0,D
33,PAR,MIL,12Bet,4.05,3.30,1.81,14103.0,D
33,PAR,MIL,12Bet,4.00,3.35,1.81,16739.0,D
33,PAR,MIL,12Bet,3.75,3.30,1.87,16850.0,D
33,PAR,MIL,12Bet,4.10,3.35,1.79,16857.0,D
33,PAR,MIL,12Bet,4.20,3.45,1.73,16859.0,D
33,PAR,MIL,12Bet,4.55,3.50,1.67,16860.0,D
33,PAR,MIL,12Bet,4.95,3.60,1.61,17001.0,D
33,GEN,TOR,Bet365,2.90,3.00,2.65,325.0,L
33,GEN,TOR,Bet365,2.80,3.00,2.80,376.0,L
33,GEN,TOR,Bet365,2.75,3.00,2.87,3396.0,L
33,GEN,TOR,Bet365,2.70,3.00,2.80,4555.0,L
33,GEN,TOR,Bet365,2.62,3.00,2.87,7801.0,L
33,GEN,TOR,Bet365,2.55,3.00,3.00,8337.0,L
33,GEN,TOR,Bet365,2.60,3.00,2.90,8532.0,L
33,GEN,TOR,Bet365,2.45,3.00,3.10,8553.0,L
33,GEN,TOR,Bet365,2.40,3.00,3.20,16988.0,L
33,GEN,TOR,Bet365,2.70,3.00,2.80,17007.0,L
33,GEN,TOR,Bet365,2.80,3.00,2.70,17316.0,L
33,GEN,TOR,Bet365,2.62,3.00,2.87,17341.0,L
33,GEN,TOR,Bet365,2.60,3.00,2.87,17354.0,L
33,GEN,TOR,WilliamHill,3.00,2.90,2.70,4.0,L
33,GEN,TOR,WilliamHill,2.90,3.00,2.70,33.0,L
33,GEN,TOR,WilliamHill,2.87,3.00,2.70,102.0,L
33,GEN,TOR,WilliamHill,2.90,3.00,2.70,330.0,L
33,GEN,TOR,WilliamHill,2.87,3.00,2.70,347.0,L
33,GEN,TOR,WilliamHill,2.80,3.00,2.75,376.0,L
33,GEN,TOR,WilliamHill,2.75,3.00,2.80,1257.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,2703.0,L
33,GEN,TOR,WilliamHill,2.75,3.00,2.80,3003.0,L
33,GEN,TOR,WilliamHill,2.75,3.10,2.75,3210.0,L
33,GEN,TOR,WilliamHill,2.75,3.00,2.80,3219.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3562.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3572.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3582.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3601.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3607.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3618.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3641.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3652.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3658.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3669.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3673.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3683.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3693.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3703.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3707.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3760.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3763.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,3776.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,3780.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,4170.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,4175.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,4493.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,4545.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,4555.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,4561.0,L
33,GEN,TOR,WilliamHill,2.70,3.00,2.87,7450.0,L
33,GEN,TOR,WilliamHill,2.70,3.10,2.80,7453.0,L
33,GEN,TOR,WilliamHill,2.62,3.10,2.87,8111.0,L
33,GEN,TOR,WilliamHill,2.60,3.10,2.90,8470.0,L
33,GEN,TOR,WilliamHill,2.60,3.00,3.00,8625.0,L
33,GEN,TOR,WilliamHill,2.55,3.00,3.10,16935.0,L
33,GEN,TOR,WilliamHill,2.55,2.90,3.20,17000.0,L
33,GEN,TOR,WilliamHill,2.75,3.00,2.87,17003.0,L
33,GEN,TOR,WilliamHill,2.70,2.90,3.00,17005.0,L
33,GEN,TOR,WilliamHill,2.80,2.90,2.87,17008.0,L
33,GEN,TOR,WilliamHill,2.80,3.00,2.80,17148.0,L
33,GEN,TOR,WilliamHill,2.80,2.90,2.87,17160.0,L
33,GEN,TOR,WilliamHill,2.87,2.80,2.87,17243.0,L
33,GEN,TOR,WilliamHill,2.80,3.00,2.80,17300.0,L
33,GEN,TOR,WilliamHill,2.87,2.90,2.80,17323.0,L
33,GEN,TOR,Bwin,2.85,3.00,2.70,243.0,L
33,GEN,TOR,Bwin,2.80,2.95,2.80,325.0,L
33,GEN,TOR,Bwin,2.70,2.95,2.95,1825.0,L
33,GEN,TOR,Bwin,2.60,3.10,2.90,2158.0,L
33,GEN,TOR,Bwin,2.60,3.00,2.85,7479.0,L
33,GEN,TOR,Bwin,2.50,3.10,2.90,16561.0,L
33,GEN,TOR,12Bet,2.97,3.00,2.63,2.0,L
33,GEN,TOR,12Bet,2.90,3.00,2.68,6.0,L
33,GEN,TOR,12Bet,2.93,3.00,2.66,14.0,L
33,GEN,TOR,12Bet,2.94,3.00,2.66,18.0,L
33,GEN,TOR,12Bet,2.93,3.00,2.66,21.0,L
33,GEN,TOR,12Bet,2.92,3.05,2.64,24.0,L
33,GEN,TOR,12Bet,2.93,3.05,2.63,30.0,L
33,GEN,TOR,12Bet,2.89,3.05,2.67,32.0,L
33,GEN,TOR,12Bet,2.90,3.05,2.66,34.0,L
33,GEN,TOR,12Bet,2.89,3.05,2.67,37.0,L
33,GEN,TOR,12Bet,2.90,3.05,2.66,43.0,L
