week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
1,CHI,JUV,Bet365,17.0,6.5,1.2,29.0,L
1,CHI,JUV,Bet365,15.0,6.0,1.22,29.0,L
1,CHI,JUV,Bet365,17.0,6.5,1.2,29.0,L
1,CHI,JUV,Bet365,15.0,6.0,1.22,398.0,L
1,CHI,JUV,Bet365,13.0,6.5,1.22,1081.0,L
1,CHI,JUV,Bet365,15.0,6.5,1.22,1499.0,L
1,CHI,JUV,Bet365,15.0,6.25,1.22,1735.0,L
1,CHI,JUV,Bet365,13.0,5.75,1.25,3791.0,L
1,CHI,JUV,Bet365,13.0,5.75,1.22,8678.0,L
1,CHI,JUV,Bet365,12.0,5.5,1.25,30629.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,17.0,L
1,CHI,JUV,WilliamHill,13.0,6.5,1.2,33.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,343.0,L
1,CHI,JUV,WilliamHill,12.0,7.0,1.2,350.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,373.0,L
1,CHI,JUV,WilliamHill,11.0,6.0,1.25,480.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,2687.0,L
1,CHI,JUV,WilliamHill,13.0,5.5,1.25,2772.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,6226.0,L
1,CHI,JUV,WilliamHill,13.0,5.5,1.25,7539.0,L
1,CHI,JUV,WilliamHill,10.0,5.0,1.25,7567.0,L
1,CHI,JUV,WilliamHill,10.0,4.8,1.28,33043.0,L
1,CHI,JUV,Bwin,14.0,6.25,1.22,2053.0,L
1,CHI,JUV,Bwin,13.0,5.75,1.22,4555.0,L
1,CHI,JUV,Bwin,11.0,5.5,1.25,7457.0,L
1,CHI,JUV,Bwin,10.0,5.25,1.28,11247.0,L
1,CHI,JUV,12Bet,9.6,4.85,1.27,10575.0,L
1,CHI,JUV,12Bet,9.8,4.9,1.26,10606.0,L
1,CHI,JUV,12Bet,9.8,4.8,1.27,23686.0,L
1,CHI,JUV,12Bet,9.7,4.8,1.27,27587.0,L
1,CHI,JUV,12Bet,9.3,4.85,1.27,30390.0,L
1,CHI,JUV,12Bet,9.1,4.8,1.28,30511.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.5,1232.0,L
1,LAZ,NAP,Bet365,2.7,3.4,2.5,1347.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.45,1351.0,L
1,LAZ,NAP,Bet365,2.9,3.4,2.37,1886.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.5,2566.0,L
1,LAZ,NAP,Bet365,2.9,3.3,2.37,2786.0,L
1,LAZ,NAP,Bet365,2.8,3.3,2.5,2793.0,L
1,LAZ,NAP,Bet365,2.87,3.4,2.37,3408.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.5,3942.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.4,4461.0,L
1,LAZ,NAP,Bet365,3.0,3.4,2.3,6352.0,L
1,LAZ,NAP,Bet365,2.9,3.4,2.37,6883.0,L
1,LAZ,NAP,Bet365,3.0,3.4,2.3,7640.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.4,16575.0,L
1,LAZ,NAP,Bet365,3.0,3.25,2.37,31134.0,L
1,LAZ,NAP,WilliamHill,2.7,3.3,2.6,3.0,L
1,LAZ,NAP,WilliamHill,2.62,3.4,2.6,5.0,L
1,LAZ,NAP,WilliamHill,2.62,3.6,2.5,9.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,14.0,L
1,LAZ,NAP,WilliamHill,2.62,3.4,2.6,27.0,L
1,LAZ,NAP,WilliamHill,2.7,3.5,2.5,30.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,34.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,65.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,81.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,93.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,113.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,118.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,215.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,241.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,264.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,298.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,362.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,366.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,371.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,376.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,422.0,L
1,LAZ,NAP,WilliamHill,2.8,3.4,2.45,486.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,538.0,L
1,LAZ,NAP,WilliamHill,2.8,3.4,2.45,586.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,706.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,749.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,803.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,819.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,865.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,871.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,1056.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,1109.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,1348.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,1695.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,1722.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,7690.0,L
1,LAZ,NAP,WilliamHill,2.8,3.4,2.4,16250.0,L
1,LAZ,NAP,WilliamHill,3.0,3.2,2.2,16622.0,L
1,LAZ,NAP,WilliamHill,3.2,3.2,2.15,16629.0,L
