week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
1,CHI,JUV,Bet365,17.0,6.5,1.2,89.0,L
1,CHI,JUV,Bet365,15.0,6.0,1.22,89.0,L
1,CHI,JUV,Bet365,17.0,6.5,1.2,89.0,L
1,CHI,JUV,Bet365,15.0,6.0,1.22,458.0,L
1,CHI,JUV,Bet365,13.0,6.5,1.22,1141.0,L
1,CHI,JUV,Bet365,15.0,6.5,1.22,1559.0,L
1,CHI,JUV,Bet365,15.0,6.25,1.22,1795.0,L
1,CHI,JUV,Bet365,13.0,5.75,1.25,3851.0,L
1,CHI,JUV,Bet365,13.0,5.75,1.22,8738.0,L
1,CHI,JUV,Bet365,12.0,5.5,1.25,30689.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,77.0,L
1,CHI,JUV,WilliamHill,13.0,6.5,1.2,93.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,403.0,L
1,CHI,JUV,WilliamHill,12.0,7.0,1.2,410.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,433.0,L
1,CHI,JUV,WilliamHill,11.0,6.0,1.25,540.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,2747.0,L
1,CHI,JUV,WilliamHill,13.0,5.5,1.25,2832.0,L
1,CHI,JUV,WilliamHill,13.0,6.0,1.22,6286.0,L
1,CHI,JUV,WilliamHill,13.0,5.5,1.25,7599.0,L
1,CHI,JUV,WilliamHill,10.0,5.0,1.25,7627.0,L
1,CHI,JUV,WilliamHill,10.0,4.8,1.28,33103.0,L
1,CHI,JUV,Bwin,14.0,6.25,1.22,2113.0,L
1,CHI,JUV,Bwin,13.0,5.75,1.22,4615.0,L
1,CHI,JUV,Bwin,11.0,5.5,1.25,7517.0,L
1,CHI,JUV,Bwin,10.0,5.25,1.28,11307.0,L
1,CHI,JUV,12Bet,9.6,4.85,1.27,10635.0,L
1,CHI,JUV,12Bet,9.8,4.9,1.26,10666.0,L
1,CHI,JUV,12Bet,9.8,4.8,1.27,23746.0,L
1,CHI,JUV,12Bet,9.7,4.8,1.27,27647.0,L
1,CHI,JUV,12Bet,9.3,4.85,1.27,30450.0,L
1,CHI,JUV,12Bet,9.1,4.8,1.28,30571.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.5,1292.0,L
1,LAZ,NAP,Bet365,2.7,3.4,2.5,1407.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.45,1411.0,L
1,LAZ,NAP,Bet365,2.9,3.4,2.37,1946.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.5,2626.0,L
1,LAZ,NAP,Bet365,2.9,3.3,2.37,2846.0,L
1,LAZ,NAP,Bet365,2.8,3.3,2.5,2853.0,L
1,LAZ,NAP,Bet365,2.87,3.4,2.37,3468.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.5,4002.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.4,4521.0,L
1,LAZ,NAP,Bet365,3.0,3.4,2.3,6412.0,L
1,LAZ,NAP,Bet365,2.9,3.4,2.37,6943.0,L
1,LAZ,NAP,Bet365,3.0,3.4,2.3,7700.0,L
1,LAZ,NAP,Bet365,2.8,3.4,2.4,16635.0,L
1,LAZ,NAP,Bet365,3.0,3.25,2.37,31194.0,L
1,LAZ,NAP,WilliamHill,2.7,3.3,2.6,63.0,L
1,LAZ,NAP,WilliamHill,2.62,3.4,2.6,65.0,L
1,LAZ,NAP,WilliamHill,2.62,3.6,2.5,69.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,74.0,L
1,LAZ,NAP,WilliamHill,2.62,3.4,2.6,87.0,L
1,LAZ,NAP,WilliamHill,2.7,3.5,2.5,90.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,94.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,125.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,141.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,153.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,173.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,178.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,275.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,301.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,324.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,358.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,422.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,426.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,431.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,436.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,482.0,L
1,LAZ,NAP,WilliamHill,2.8,3.4,2.45,546.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,598.0,L
1,LAZ,NAP,WilliamHill,2.8,3.4,2.45,646.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,766.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,809.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,863.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,879.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,925.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,931.0,L
1,LAZ,NAP,WilliamHill,2.75,3.5,2.45,1116.0,L
1,LAZ,NAP,WilliamHill,2.75,3.4,2.5,1169.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,1408.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,1755.0,L
1,LAZ,NAP,WilliamHill,2.75,3.6,2.4,1782.0,L
1,LAZ,NAP,WilliamHill,2.8,3.5,2.4,7750.0,L
1,LAZ,NAP,WilliamHill,2.8,3.4,2.4,16310.0,L
1,LAZ,NAP,WilliamHill,3.0,3.2,2.2,16682.0,L
1,LAZ,NAP,WilliamHill,3.2,3.2,2.15,16689.0,L
1,LAZ,NAP,WilliamHill,3.0,3.2,2.2,30808.0,L
1,LAZ,NAP,WilliamHill,3.3,3.2,2.1,33231.0,L
1,LAZ,NAP,WilliamHill,3.6,3.0,2.1,33248.0,L
1,LAZ,NAP,Bwin,2.8,3.5,2.45,2272.0,L
1,LAZ,NAP,Bwin,2.75,3.4,2.4,12971.0,L
1,LAZ,NAP,12Bet,2.79,3.25,2.59,62.0,L
1,LAZ,NAP,12Bet,2.79,3.3,2.58,63.0,L
1,LAZ,NAP,12Bet,2.8,3.3,2.57,63.0,L
1,LAZ,NAP,12Bet,2.79,3.3,2.58,66.0,L
1,LAZ,NAP,12Bet,2.81,3.25,2.57,69.0,L
1,LAZ,NAP,12Bet,2.8,3.3,2.57,70.0,L
1,LAZ,NAP,12Bet,2.81,3.3,2.55,74.0,L
1,LAZ,NAP,12Bet,2.84,3.3,2.53,75.0,L
1,LAZ,NAP,12Bet,2.81,3.3,2.55,79.0,L
1,LAZ,NAP,12Bet,2.84,3.3,2.53,80.0,L
1,LAZ,NAP,12Bet,2.78,3.3,2.58,81.0,L
1,LAZ,NAP,12Bet,2.77,3.3,2.59,82.0,L
1,LAZ,NAP,12Bet,2.78,3.3,2.58,82.0,L
1,LAZ,NAP,12Bet,2.77,3.3,2.59,82.0,L
1,LAZ,NAP,12Bet,2.78,3.3,2.58,83.0,L
1,LAZ,NAP,12Bet,2.77,3.3,2.59,83.0,L
1,LAZ,NAP,12Bet,2.78,3.3,2.58,83.0,L
1,LAZ,NAP,12Bet,2.77,3.3,2.59,84.0,L
1,LAZ,NAP,12Bet,2.76,3.3,2.6,85.0,L
1,LAZ,NAP,12Bet,2.78,3.3,2.58,85.0,L
1,LAZ,NAP,12Bet,2.76,3.3,2.6,85.0,L
1,LAZ,NAP,12Bet,2.78,3.3,2.58,86.0,L
1,LAZ,NAP,12Bet,2.75,3.4,2.57,89.0,L
1,LAZ,NAP,12Bet,2.78,3.4,2.54,89.0,L
1,LAZ,NAP,12Bet,2.78,3.35,2.54,90.0,L
1,LAZ,NAP,12Bet,2.75,3.35,2.57,90.0,L
1,LAZ,NAP,12Bet,2.78,3.35,2.54,90.0,L
1,LAZ,NAP,12Bet,2.73,3.35,2.59,91.0,L
1,LAZ,NAP,12Bet,2.83,3.35,2.49,94.0,L
1,LAZ,NAP,12Bet,2.81,3.4,2.5,94.0,L
