week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
30,MIL,UDI,Bet365,1.53,4.00,7.00,85.0,D
30,MIL,UDI,Bet365,1.50,4.20,7.00,208.0,D
30,MIL,UDI,Bet365,1.44,4.33,8.00,1099.0,D
30,MIL,UDI,Bet365,1.44,4.33,7.50,1482.0,D
30,MIL,UDI,Bet365,1.50,4.00,7.00,21169.0,D
30,MIL,UDI,WilliamHill,1.57,3.80,6.50,62.0,D
30,MIL,UDI,WilliamHill,1.57,3.90,6.50,65.0,D
30,MIL,UDI,WilliamHill,1.55,4.00,6.50,68.0,D
30,MIL,UDI,WilliamHill,1.57,3.90,6.50,80.0,D
30,MIL,UDI,WilliamHill,1.55,4.00,6.50,85.0,D
30,MIL,UDI,WilliamHill,1.52,4.00,7.00,102.0,D
30,MIL,UDI,WilliamHill,1.52,4.20,6.50,112.0,D
30,MIL,UDI,WilliamHill,1.50,4.20,7.00,134.0,D
30,MIL,UDI,WilliamHill,1.52,4.00,7.00,212.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,7.50,251.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,8.00,275.0,D
30,MIL,UDI,WilliamHill,1.42,4.40,8.50,278.0,D
30,MIL,UDI,WilliamHill,1.42,4.33,8.50,424.0,D
30,MIL,UDI,WilliamHill,1.42,4.33,9.00,452.0,D
30,MIL,UDI,WilliamHill,1.42,4.33,8.50,806.0,D
30,MIL,UDI,WilliamHill,1.44,4.20,8.50,896.0,D
30,MIL,UDI,WilliamHill,1.42,4.33,8.50,997.0,D
30,MIL,UDI,WilliamHill,1.44,4.20,8.50,1052.0,D
30,MIL,UDI,WilliamHill,1.42,4.33,8.50,1469.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,8.00,1494.0,D
30,MIL,UDI,WilliamHill,1.42,4.40,8.50,1520.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,8.00,1561.0,D
30,MIL,UDI,WilliamHill,1.44,4.20,8.50,1595.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,8.00,1765.0,D
30,MIL,UDI,WilliamHill,1.47,4.20,8.00,1789.0,D
30,MIL,UDI,WilliamHill,1.47,4.20,7.50,1931.0,D
30,MIL,UDI,WilliamHill,1.50,4.20,7.00,1947.0,D
30,MIL,UDI,WilliamHill,1.47,4.20,7.50,2056.0,D
30,MIL,UDI,WilliamHill,1.50,4.00,7.50,2084.0,D
30,MIL,UDI,WilliamHill,1.47,4.20,7.50,2215.0,D
30,MIL,UDI,WilliamHill,1.50,4.00,7.50,3120.0,D
30,MIL,UDI,WilliamHill,1.52,4.00,7.00,3717.0,D
30,MIL,UDI,WilliamHill,1.53,3.90,7.00,3723.0,D
30,MIL,UDI,WilliamHill,1.52,4.00,7.00,4141.0,D
30,MIL,UDI,WilliamHill,1.52,3.90,7.50,14520.0,D
30,MIL,UDI,WilliamHill,1.53,3.80,7.50,20202.0,D
30,MIL,UDI,WilliamHill,1.52,3.90,7.50,20487.0,D
30,MIL,UDI,WilliamHill,1.50,4.00,7.50,21821.0,D
30,MIL,UDI,WilliamHill,1.50,4.00,8.00,21824.0,D
30,MIL,UDI,WilliamHill,1.44,4.20,8.50,21876.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,8.00,21879.0,D
30,MIL,UDI,WilliamHill,1.42,4.33,8.50,21881.0,D
30,MIL,UDI,WilliamHill,1.44,4.33,8.00,21891.0,D
30,MIL,UDI,WilliamHill,1.47,4.20,8.00,21927.0,D
30,MIL,UDI,Bwin,1.50,4.10,7.00,73.0,D
30,MIL,UDI,Bwin,1.50,4.25,6.75,163.0,D
30,MIL,UDI,Bwin,1.42,4.50,8.00,526.0,D
30,MIL,UDI,Bwin,1.42,4.40,8.50,643.0,D
30,MIL,UDI,Bwin,1.48,4.10,7.75,1596.0,D
30,MIL,UDI,Bwin,1.50,4.10,7.00,1941.0,D
30,MIL,UDI,Bwin,1.53,4.00,7.00,2245.0,D
30,MIL,UDI,Bwin,1.50,3.90,6.75,17664.0,D
30,MIL,UDI,12Bet,1.58,3.90,6.10,60.0,D
30,MIL,UDI,12Bet,1.57,3.95,6.30,63.0,D
30,MIL,UDI,12Bet,1.57,3.90,6.30,65.0,D
30,MIL,UDI,12Bet,1.57,3.90,6.40,66.0,D
30,MIL,UDI,12Bet,1.57,3.90,6.30,67.0,D
30,MIL,UDI,12Bet,1.55,3.95,6.50,67.0,D
30,MIL,UDI,12Bet,1.54,4.00,6.60,68.0,D
30,MIL,UDI,12Bet,1.55,3.95,6.40,71.0,D
