param,training_score,testing_score,precision_draw,precision_lose,precision_win,recall_draw,recall_lose,recall_win,f1_draw,f1_lose,f1_win,n_estimators
PremierLeague_Bet365_ori_4_rf,0.9989247311827957,0.6011281224818694,0.43,0.67,0.71,0.54,0.64,0.66,0.48,0.65,0.69,N/A
PremierLeague_Bet365_ori_4_svm,0.5685483870967742,0.5616438356164384,0.5,0.64,0.53,0.0,0.51,0.85,0.01,0.57,0.65,N/A
PremierLeague_Bet365_ori_4_knn,0.9989247311827957,0.6196615632554392,0.48,0.62,0.69,0.49,0.65,0.66,0.49,0.63,0.67,5
PremierLeague_Bet365_ori_4_nn,0.5645161,0.5495568,0.0,0.55,0.55,0.0,0.63,0.73,0.0,0.59,0.63,N/A
PremierLeague_Bet365_ori_3_rf,0.9983870967741936,0.5874294923448832,0.43,0.67,0.72,0.55,0.66,0.65,0.48,0.67,0.68,N/A
PremierLeague_Bet365_ori_3_svm,0.5655913978494623,0.5632554391619662,0.0,0.66,0.53,0.0,0.49,0.87,0.0,0.57,0.66,N/A
PremierLeague_Bet365_ori_3_knn,0.9986559139784946,0.6148267526188558,0.45,0.61,0.7,0.46,0.66,0.65,0.46,0.63,0.67,5
PremierLeague_Bet365_ori_3_nn,0.5653226,0.5656728,0.0,0.61,0.54,0.0,0.57,0.81,0.0,0.59,0.65,N/A
PremierLeague_Bet365_alt_4_rf,0.99836867862969,0.615321923390383,0.45,0.68,0.72,0.52,0.65,0.69,0.48,0.67,0.71,N/A
PremierLeague_Bet365_alt_4_svm,0.5622620989668298,0.582722086389568,0.0,0.67,0.55,0.0,0.5,0.89,0.0,0.58,0.68,N/A
PremierLeague_Bet365_alt_4_knn,0.9991843393148451,0.6177669111654441,0.45,0.6,0.7,0.42,0.65,0.68,0.43,0.63,0.69,5
PremierLeague_Bet365_alt_4_nn,0.55872756,0.5753871,0.0,0.6,0.56,0.0,0.59,0.81,0.0,0.6,0.66,N/A
PremierLeague_Bet365_alt_3_rf,0.9978249048395867,0.589242053789731,0.42,0.69,0.74,0.54,0.65,0.67,0.47,0.67,0.7,N/A
PremierLeague_Bet365_alt_3_svm,0.5617183251767265,0.5810920945395273,0.0,0.68,0.55,0.0,0.48,0.9,0.0,0.56,0.68,N/A
PremierLeague_Bet365_alt_3_knn,0.9986405655247417,0.6063569682151589,0.42,0.59,0.7,0.43,0.64,0.66,0.42,0.62,0.68,5
PremierLeague_Bet365_alt_3_nn,0.5598151,0.5794621,0.0,0.61,0.56,0.0,0.59,0.82,0.0,0.6,0.67,N/A
PremierLeague_WilliamHill_ori_4_rf,0.9989513862673546,0.8064678495029571,0.69,0.84,0.85,0.74,0.83,0.84,0.71,0.83,0.84,N/A
PremierLeague_WilliamHill_ori_4_svm,0.6239251709240384,0.6260223983893293,0.45,0.72,0.61,0.21,0.61,0.82,0.29,0.66,0.7,N/A
PremierLeague_WilliamHill_ori_4_knn,0.999077219915272,0.7916194790486977,0.69,0.81,0.82,0.7,0.81,0.82,0.69,0.81,0.82,5
PremierLeague_WilliamHill_ori_4_nn,0.6110482,0.6099157,1.0,0.65,0.58,0.0,0.68,0.82,0.0,0.67,0.68,N/A
PremierLeague_WilliamHill_ori_3_rf,0.9983222180277673,0.7728702655089971,0.65,0.82,0.82,0.69,0.8,0.81,0.67,0.81,0.82,N/A
PremierLeague_WilliamHill_ori_3_svm,0.6252673965018246,0.6265257329809991,0.44,0.73,0.61,0.22,0.58,0.84,0.3,0.65,0.7,N/A
PremierLeague_WilliamHill_ori_3_knn,0.9984061071263789,0.7680885868881339,0.65,0.79,0.8,0.66,0.79,0.8,0.66,0.79,0.8,5
PremierLeague_WilliamHill_ori_3_nn,0.61541045,0.6158299,0.0,0.68,0.58,0.0,0.67,0.84,0.0,0.67,0.69,N/A
PremierLeague_WilliamHill_alt_4_rf,0.9986938018792398,0.8114018455315384,0.7,0.85,0.85,0.74,0.83,0.84,0.72,0.84,0.85,N/A
PremierLeague_WilliamHill_alt_4_svm,0.6257953061138499,0.6248261913790925,0.41,0.72,0.61,0.18,0.6,0.84,0.25,0.65,0.71,N/A
PremierLeague_WilliamHill_alt_4_knn,0.9989466144187419,0.7838452787258248,0.67,0.8,0.81,0.67,0.81,0.81,0.67,0.81,0.81,5
PremierLeague_WilliamHill_alt_4_nn,0.6055282,0.6027051,0.0,0.61,0.6,0.0,0.7,0.78,0.0,0.65,0.68,N/A
PremierLeague_WilliamHill_alt_3_rf,0.9979774996839843,0.7814435596005562,0.66,0.82,0.84,0.71,0.81,0.82,0.68,0.82,0.83,N/A
PremierLeague_WilliamHill_alt_3_svm,0.6246155142628408,0.6228036910630768,0.4,0.72,0.61,0.18,0.6,0.84,0.25,0.65,0.7,N/A
PremierLeague_WilliamHill_alt_3_knn,0.998188176800236,0.757679180887372,0.64,0.79,0.79,0.63,0.79,0.79,0.63,0.79,0.79,5
PremierLeague_WilliamHill_alt_3_nn,0.6155143,0.6140817,1.0,0.68,0.58,0.0,0.66,0.84,0.0,0.67,0.69,N/A
PremierLeague_Bwin_ori_4_rf,0.999535747446611,0.521557719054242,0.29,0.64,0.65,0.41,0.54,0.63,0.34,0.58,0.64,N/A
PremierLeague_Bwin_ori_4_svm,0.5770659238625813,0.5952712100139083,0.0,0.73,0.55,0.0,0.52,0.89,0.0,0.6,0.68,N/A
PremierLeague_Bwin_ori_4_knn,0.7321262766945218,0.5312934631432545,0.33,0.6,0.66,0.42,0.52,0.66,0.37,0.55,0.66,5
PremierLeague_Bwin_ori_4_nn,0.5710306,0.61057025,0.0,0.64,0.6,0.0,0.7,0.79,0.0,0.67,0.68,N/A
PremierLeague_Bwin_ori_3_rf,0.9986072423398329,0.5006954102920723,0.28,0.63,0.65,0.41,0.52,0.6,0.33,0.57,0.63,N/A
PremierLeague_Bwin_ori_3_svm,0.575208913649025,0.5952712100139083,0.0,0.73,0.55,0.0,0.5,0.9,0.0,0.6,0.68,N/A
PremierLeague_Bwin_ori_3_knn,0.9990714948932219,0.5424200278164116,0.32,0.56,0.61,0.32,0.53,0.64,0.32,0.54,0.63,5
PremierLeague_Bwin_ori_3_nn,0.5738162,0.6036161,0.0,0.65,0.58,0.0,0.65,0.81,0.0,0.65,0.67,N/A
PremierLeague_Bwin_alt_4_rf,0.9995217599234816,0.49784791965566716,0.31,0.59,0.64,0.41,0.51,0.63,0.36,0.55,0.64,N/A
PremierLeague_Bwin_alt_4_svm,0.5820181731229077,0.5738880918220947,0.0,0.66,0.55,0.0,0.46,0.89,0.0,0.54,0.68,N/A
PremierLeague_Bwin_alt_4_knn,0.9995217599234816,0.5595408895265424,0.35,0.55,0.64,0.3,0.57,0.66,0.32,0.56,0.65,5
PremierLeague_Bwin_alt_4_nn,0.5810617,0.56671447,0.0,0.56,0.57,0.0,0.57,0.8,0.0,0.57,0.66,N/A
PremierLeague_Bwin_alt_3_rf,0.9990435198469632,0.4935437589670014,0.31,0.61,0.63,0.42,0.51,0.6,0.35,0.55,0.62,N/A
PremierLeague_Bwin_alt_3_svm,0.5805834528933524,0.5738880918220947,0.0,0.67,0.55,0.0,0.46,0.89,0.0,0.55,0.68,N/A
PremierLeague_Bwin_alt_3_knn,0.9990435198469632,0.5581061692969871,0.32,0.57,0.64,0.3,0.59,0.64,0.31,0.58,0.64,5
PremierLeague_Bwin_alt_3_nn,0.5829747,0.5681492,0.0,0.58,0.56,0.0,0.56,0.81,0.0,0.57,0.66,N/A
PremierLeague_12Bet_ori_4_rf,0.9991035410129987,0.836534767575874,0.71,0.89,0.89,0.77,0.85,0.88,0.74,0.87,0.89,N/A
PremierLeague_12Bet_ori_4_svm,0.617852340398284,0.6169804072224356,0.5,0.65,0.6,0.0,0.64,0.84,0.0,0.64,0.7,N/A
PremierLeague_12Bet_ori_4_knn,0.9991675737977844,0.8414329619669612,0.75,0.85,0.87,0.73,0.85,0.88,0.74,0.85,0.87,5
PremierLeague_12Bet_ori_4_nn,0.61455464,0.6123703,0.0,0.65,0.6,0.0,0.63,0.83,0.0,0.64,0.69,N/A
PremierLeague_12Bet_ori_3_rf,0.9978228853172825,0.8113714944295044,0.67,0.87,0.87,0.73,0.83,0.86,0.7,0.85,0.87,N/A
PremierLeague_12Bet_ori_3_svm,0.6177242748287123,0.6155397618132924,0.43,0.65,0.6,0.0,0.64,0.83,0.0,0.64,0.7,N/A
PremierLeague_12Bet_ori_3_knn,0.9981110328488186,0.8234729158663081,0.71,0.84,0.85,0.7,0.83,0.86,0.71,0.84,0.86,5
PremierLeague_12Bet_ori_3_nn,0.61689186,0.6143873,0.0,0.65,0.6,0.0,0.63,0.84,0.0,0.64,0.7,N/A
PremierLeague_12Bet_alt_4_rf,0.9991646049545352,0.8376867469879518,0.7,0.89,0.89,0.77,0.86,0.88,0.73,0.87,0.88,N/A
PremierLeague_12Bet_alt_4_svm,0.6150756675127719,0.6076144578313253,0.0,0.66,0.58,0.0,0.57,0.86,0.0,0.61,0.7,N/A
