param,training_score,testing_score,precision_draw,precision_lose,precision_win,recall_draw,recall_lose,recall_win,f1_draw,f1_lose,f1_win
PremierLeague_12Bet_knn,0.9983671639879619,0.8263542066845947,0.71,0.85,0.87,0.73,0.84,0.87,0.72,0.85,0.87
PremierLeague_12Bet_rf,0.9991035410129987,0.8393200153668844,0.71,0.88,0.89,0.77,0.85,0.89,0.74,0.87,0.89
LaLiga_12Bet_knn,0.9979259259259259,0.788761603792218,0.73,0.81,0.85,0.79,0.78,0.82,0.76,0.79,0.83
LaLiga_12Bet_rf,0.9988148148148148,0.7961682796760814,0.73,0.84,0.88,0.83,0.78,0.83,0.78,0.81,0.85
Bundesliga_12Bet_knn,0.9986627705413303,0.8174119744465904,0.76,0.84,0.86,0.79,0.82,0.86,0.77,0.83,0.86
Bundesliga_12Bet_rf,0.9993066217621712,0.8321200415985738,0.76,0.87,0.88,0.81,0.83,0.88,0.78,0.85,0.88
Serie-A_12Bet_knn,0.998274089306698,0.8089887640449438,0.75,0.81,0.87,0.78,0.78,0.86,0.76,0.8,0.86
Serie-A_12Bet_rf,0.9990819623971798,0.8259528530513329,0.76,0.86,0.89,0.82,0.8,0.88,0.79,0.82,0.88
Ligue1_12Bet_knn,0.9984129083454569,0.7704007406427721,0.69,0.8,0.84,0.76,0.74,0.83,0.72,0.77,0.84
Ligue1_12Bet_rf,0.9991623682934356,0.7789974871048803,0.68,0.83,0.86,0.78,0.75,0.84,0.73,0.79,0.85
MLS_12Bet_knn,0.9972285210380448,0.7475911581333837,0.63,0.77,0.81,0.66,0.67,0.84,0.65,0.72,0.82
MLS_12Bet_rf,0.99848828420257,0.7534479501228037,0.65,0.81,0.81,0.7,0.66,0.86,0.67,0.73,0.83
PremierLeague_WilliamHill_rf,0.9990352753659661,0.8106203598842331,0.71,0.85,0.85,0.74,0.83,0.84,0.72,0.84,0.84
