week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
38,LEV,ATM,Bet365,4.2,4,1.75,77,D
38,LEV,ATM,Bet365,4.33,4,1.72,105,D
38,LEV,ATM,Bet365,4,4,1.8,107,D
38,LEV,ATM,Bet365,4.33,4,1.72,108,D
38,LEV,ATM,Bet365,4,4,1.8,285,D
38,LEV,ATM,Bet365,4,3.8,1.85,470,D
38,LEV,ATM,Bet365,3.75,3.75,1.95,2942,D
38,LEV,ATM,Bet365,3.6,3.7,2,3215,D
38,LEV,ATM,Bet365,3.75,3.6,2,3349,D
38,LEV,ATM,Bet365,3.6,3.6,1.95,7410,D
38,LEV,ATM,Bet365,3.5,3.6,2,8136,D
38,LEV,ATM,Bet365,3.25,3.5,2.1,8255,D
38,LEV,ATM,Bet365,3,3.5,2.25,10854,D
38,LEV,ATM,WilliamHill,4.33,4,1.75,63,D
38,LEV,ATM,WilliamHill,4.4,4,1.75,67,D
38,LEV,ATM,WilliamHill,4.2,4,1.78,71,D
38,LEV,ATM,WilliamHill,4.33,4,1.75,75,D
38,LEV,ATM,WilliamHill,4.2,4,1.78,86,D
38,LEV,ATM,WilliamHill,4.33,4,1.75,101,D
38,LEV,ATM,WilliamHill,4.2,4,1.78,116,D
38,LEV,ATM,WilliamHill,4.33,3.9,1.78,120,D
38,LEV,ATM,WilliamHill,4.2,4,1.78,159,D
38,LEV,ATM,WilliamHill,4.2,3.9,1.8,170,D
38,LEV,ATM,WilliamHill,4,3.8,1.85,181,D
38,LEV,ATM,WilliamHill,4.2,3.8,1.83,190,D
38,LEV,ATM,WilliamHill,4,3.9,1.83,197,D
38,LEV,ATM,WilliamHill,4,3.8,1.85,205,D
38,LEV,ATM,WilliamHill,4.2,3.8,1.83,208,D
38,LEV,ATM,WilliamHill,4,3.8,1.85,212,D
38,LEV,ATM,WilliamHill,4,3.9,1.83,237,D
38,LEV,ATM,WilliamHill,4.2,3.9,1.8,251,D
38,LEV,ATM,WilliamHill,4.33,3.9,1.78,265,D
38,LEV,ATM,WilliamHill,4.2,3.9,1.8,274,D
38,LEV,ATM,WilliamHill,4.33,3.9,1.78,280,D
38,LEV,ATM,WilliamHill,4.2,3.9,1.8,310,D
38,LEV,ATM,WilliamHill,4,3.9,1.83,326,D
38,LEV,ATM,WilliamHill,4.2,3.9,1.8,329,D
38,LEV,ATM,WilliamHill,4.33,3.9,1.78,440,D
38,LEV,ATM,WilliamHill,4.4,3.9,1.75,448,D
38,LEV,ATM,WilliamHill,4.33,3.9,1.78,454,D
38,LEV,ATM,WilliamHill,4.2,4,1.78,456,D
38,LEV,ATM,WilliamHill,4.2,3.9,1.8,459,D
38,LEV,ATM,WilliamHill,4,3.9,1.83,462,D
38,LEV,ATM,WilliamHill,3.8,3.9,1.88,470,D
38,LEV,ATM,WilliamHill,3.7,3.9,1.91,472,D
38,LEV,ATM,WilliamHill,3.6,3.8,1.95,507,D
38,LEV,ATM,WilliamHill,3.6,3.75,2,520,D
38,LEV,ATM,WilliamHill,3.6,3.75,1.95,528,D
38,LEV,ATM,WilliamHill,3.7,3.75,1.95,531,D
38,LEV,ATM,WilliamHill,3.6,3.75,2,557,D
38,LEV,ATM,WilliamHill,3.7,3.75,1.95,609,D
38,LEV,ATM,WilliamHill,3.6,3.8,1.95,617,D
38,LEV,ATM,WilliamHill,3.6,3.75,2,962,D
38,LEV,ATM,WilliamHill,3.6,3.7,2,1576,D
38,LEV,ATM,WilliamHill,3.5,3.8,2,1653,D
