week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
38,AMI,GUI,Bet365,1.53,4,6.5,107,W
38,AMI,GUI,Bet365,1.5,4,7,323,W
38,AMI,GUI,Bet365,1.53,4,6.5,702,W
38,AMI,GUI,Bet365,1.44,4.33,7.5,703,W
38,AMI,GUI,Bet365,1.53,4,6.5,703,W
38,AMI,GUI,Bet365,1.44,4.33,7.5,1933,W
38,AMI,GUI,Bet365,1.44,4.33,8,2311,W
38,AMI,GUI,Bet365,1.5,4.2,7,2510,W
38,AMI,GUI,Bet365,1.44,4.2,7.5,4507,W
38,AMI,GUI,Bet365,1.45,4.2,7.5,4612,W
38,AMI,GUI,Bet365,1.5,4,7,4869,W
38,AMI,GUI,Bet365,1.53,4,6,5744,W
38,AMI,GUI,WilliamHill,1.53,3.9,6.5,66,W
38,AMI,GUI,WilliamHill,1.52,4,6.5,102,W
38,AMI,GUI,WilliamHill,1.5,4,7,105,W
38,AMI,GUI,WilliamHill,1.52,4,6.5,108,W
38,AMI,GUI,WilliamHill,1.5,4,7,110,W
38,AMI,GUI,WilliamHill,1.52,3.9,7,113,W
38,AMI,GUI,WilliamHill,1.5,4,7,139,W
38,AMI,GUI,WilliamHill,1.47,4.2,7,153,W
38,AMI,GUI,WilliamHill,1.5,4,7,167,W
38,AMI,GUI,WilliamHill,1.5,4.2,6.5,170,W
38,AMI,GUI,WilliamHill,1.5,4,7,204,W
38,AMI,GUI,WilliamHill,1.47,4.2,7,222,W
38,AMI,GUI,WilliamHill,1.5,4,7,225,W
38,AMI,GUI,WilliamHill,1.47,4.2,7,242,W
38,AMI,GUI,WilliamHill,1.5,4.2,6.5,251,W
38,AMI,GUI,WilliamHill,1.47,4.2,7,254,W
38,AMI,GUI,WilliamHill,1.5,4,7,353,W
38,AMI,GUI,WilliamHill,1.52,3.9,7,413,W
38,AMI,GUI,WilliamHill,1.5,4,7,563,W
38,AMI,GUI,WilliamHill,1.52,3.9,7,623,W
38,AMI,GUI,WilliamHill,1.52,4,6.5,679,W
38,AMI,GUI,WilliamHill,1.52,3.9,7,693,W
38,AMI,GUI,WilliamHill,1.5,4,7,708,W
38,AMI,GUI,WilliamHill,1.44,4.2,7.5,834,W
