week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
38,FRO,CHI,Bet365,2,3.75,3.4,24,D
38,FRO,CHI,Bet365,2.05,3.75,3.3,103,D
38,FRO,CHI,Bet365,2.1,3.75,3.25,274,D
38,FRO,CHI,Bet365,2.2,3.8,3,1806,D
38,FRO,CHI,Bet365,2.3,3.75,2.8,2929,D
38,FRO,CHI,Bet365,2.2,3.6,3,2982,D
38,FRO,CHI,Bet365,2.37,3.6,2.8,3238,D
38,FRO,CHI,Bet365,2.3,3.75,2.87,3353,D
38,FRO,CHI,Bet365,2.4,3.75,2.7,3597,D
38,FRO,CHI,Bet365,2.4,3.75,2.62,4034,D
38,FRO,CHI,Bet365,2.3,3.75,2.8,4222,D
38,FRO,CHI,Bet365,2.45,3.75,2.62,5846,D
38,FRO,CHI,Bet365,2.3,3.75,2.8,5902,D
38,FRO,CHI,Bet365,2.25,3.75,2.87,6040,D
38,FRO,CHI,Bet365,2.3,3.75,2.75,6693,D
38,FRO,CHI,WilliamHill,2,3.7,3.6,5,D
38,FRO,CHI,WilliamHill,2.05,3.7,3.5,11,D
38,FRO,CHI,WilliamHill,2.05,3.5,3.6,14,D
38,FRO,CHI,WilliamHill,2.1,3.5,3.5,24,D
38,FRO,CHI,WilliamHill,2.1,3.6,3.4,36,D
38,FRO,CHI,WilliamHill,2.05,3.6,3.5,49,D
38,FRO,CHI,WilliamHill,2.1,3.6,3.4,100,D
38,FRO,CHI,WilliamHill,2.15,3.5,3.3,103,D
38,FRO,CHI,WilliamHill,2.15,3.6,3.25,111,D
38,FRO,CHI,WilliamHill,2.2,3.6,3.2,135,D
38,FRO,CHI,WilliamHill,2.15,3.6,3.25,151,D
38,FRO,CHI,WilliamHill,2.2,3.6,3.2,164,D
38,FRO,CHI,WilliamHill,2.15,3.6,3.25,192,D
38,FRO,CHI,WilliamHill,2.2,3.6,3.2,201,D
38,FRO,CHI,WilliamHill,2.15,3.6,3.25,228,D
38,FRO,CHI,WilliamHill,2.2,3.5,3.2,259,D
38,FRO,CHI,WilliamHill,2.2,3.6,3.2,264,D
38,FRO,CHI,WilliamHill,2.15,3.6,3.25,273,D
38,FRO,CHI,WilliamHill,2.2,3.6,3.2,276,D
38,FRO,CHI,WilliamHill,2.15,3.6,3.25,280,D
38,FRO,CHI,WilliamHill,2.2,3.6,3.2,294,D
38,FRO,CHI,WilliamHill,2.15,3.7,3.2,306,D
38,FRO,CHI,WilliamHill,2.2,3.7,3.1,321,D
38,FRO,CHI,WilliamHill,2.25,3.7,3,327,D
38,FRO,CHI,WilliamHill,2.3,3.6,3,330,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.9,360,D
38,FRO,CHI,WilliamHill,2.25,3.7,3,572,D
38,FRO,CHI,WilliamHill,2.2,3.75,3,745,D
38,FRO,CHI,WilliamHill,2.25,3.75,3,760,D
38,FRO,CHI,WilliamHill,2.2,3.75,3,1535,D
38,FRO,CHI,WilliamHill,2.25,3.75,3,1546,D
38,FRO,CHI,WilliamHill,2.25,3.7,3,1817,D
38,FRO,CHI,WilliamHill,2.25,3.75,3,1884,D
38,FRO,CHI,WilliamHill,2.2,3.8,3,1890,D
38,FRO,CHI,WilliamHill,2.2,3.75,3,2042,D
38,FRO,CHI,WilliamHill,2.25,3.8,2.9,2071,D
38,FRO,CHI,WilliamHill,2.3,3.75,2.9,2211,D
38,FRO,CHI,WilliamHill,2.35,3.7,2.8,2992,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.87,2994,D
38,FRO,CHI,WilliamHill,2.35,3.7,2.8,2998,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.87,3000,D
38,FRO,CHI,WilliamHill,2.35,3.7,2.8,3106,D
38,FRO,CHI,WilliamHill,2.37,3.7,2.8,3358,D
38,FRO,CHI,WilliamHill,2.4,3.7,2.75,3361,D
38,FRO,CHI,WilliamHill,2.45,3.6,2.75,3368,D
38,FRO,CHI,WilliamHill,2.45,3.7,2.7,3472,D
38,FRO,CHI,WilliamHill,2.5,3.7,2.62,4028,D
38,FRO,CHI,WilliamHill,2.5,3.6,2.7,4031,D
38,FRO,CHI,WilliamHill,2.45,3.6,2.75,4036,D
38,FRO,CHI,WilliamHill,2.4,3.6,2.8,4038,D
38,FRO,CHI,WilliamHill,2.37,3.7,2.8,4059,D
38,FRO,CHI,WilliamHill,2.4,3.7,2.75,4137,D
38,FRO,CHI,WilliamHill,2.4,3.6,2.8,4142,D
38,FRO,CHI,WilliamHill,2.4,3.7,2.75,4217,D
38,FRO,CHI,WilliamHill,2.45,3.6,2.75,4226,D
38,FRO,CHI,WilliamHill,2.45,3.7,2.7,4711,D
38,FRO,CHI,WilliamHill,2.5,3.7,2.62,5461,D
38,FRO,CHI,WilliamHill,2.45,3.7,2.7,5668,D
38,FRO,CHI,WilliamHill,2.5,3.7,2.62,5852,D
38,FRO,CHI,WilliamHill,2.55,3.6,2.62,5883,D
38,FRO,CHI,WilliamHill,2.55,3.6,2.6,5891,D
38,FRO,CHI,WilliamHill,2.5,3.6,2.7,5894,D
38,FRO,CHI,WilliamHill,2.45,3.6,2.75,5896,D
38,FRO,CHI,WilliamHill,2.45,3.7,2.7,5899,D
38,FRO,CHI,WilliamHill,2.5,3.6,2.7,5906,D
38,FRO,CHI,WilliamHill,2.55,3.6,2.62,5911,D
38,FRO,CHI,WilliamHill,2.55,3.75,2.55,5913,D
38,FRO,CHI,WilliamHill,2.37,3.6,2.87,5913,D
38,FRO,CHI,WilliamHill,2.35,3.6,2.87,5916,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.9,6009,D
38,FRO,CHI,WilliamHill,2.35,3.6,2.87,6069,D
38,FRO,CHI,WilliamHill,2.35,3.7,2.8,6195,D
38,FRO,CHI,WilliamHill,2.37,3.7,2.8,6773,D
38,FRO,CHI,WilliamHill,2.35,3.6,2.87,6775,D
38,FRO,CHI,WilliamHill,2.37,3.6,2.87,6779,D
38,FRO,CHI,WilliamHill,2.37,3.5,2.87,6779,D
38,FRO,CHI,WilliamHill,2.37,3.5,2.9,6781,D
38,FRO,CHI,WilliamHill,2.35,3.6,2.9,6783,D
38,FRO,CHI,WilliamHill,2.3,3.6,3,6784,D
38,FRO,CHI,WilliamHill,2.25,3.7,3,7025,D
38,FRO,CHI,WilliamHill,2.2,3.7,3.1,7026,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.9,7037,D
38,FRO,CHI,WilliamHill,2.35,3.6,2.87,7050,D
38,FRO,CHI,WilliamHill,2.37,3.7,2.8,7065,D
38,FRO,CHI,WilliamHill,2.4,3.6,2.8,7090,D
38,FRO,CHI,WilliamHill,2.4,3.7,2.75,7110,D
38,FRO,CHI,WilliamHill,2.37,3.7,2.8,7112,D
38,FRO,CHI,WilliamHill,2.4,3.6,2.8,7116,D
38,FRO,CHI,WilliamHill,2.45,3.6,2.75,7120,D
38,FRO,CHI,WilliamHill,2.4,3.6,2.8,7125,D
38,FRO,CHI,WilliamHill,2.45,3.6,2.75,7137,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.9,7140,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.87,7144,D
38,FRO,CHI,WilliamHill,2.3,3.7,2.9,7153,D
38,FRO,CHI,WilliamHill,2.35,3.7,2.8,7168,D
38,FRO,CHI,WilliamHill,2.35,3.6,2.87,7173,D
38,FRO,CHI,WilliamHill,2.35,3.7,2.8,7175,D
38,FRO,CHI,WilliamHill,2.37,3.7,2.8,7177,D
38,FRO,CHI,WilliamHill,2.4,3.6,2.8,7184,D
38,FRO,CHI,WilliamHill,2.3,3.8,2.87,7192,D
38,FRO,CHI,WilliamHill,2.2,3.75,3,7194,D
38,FRO,CHI,Bwin,2.1,3.5,3.5,1,D
38,FRO,CHI,Bwin,2.15,3.5,3.3,58,D
38,FRO,CHI,Bwin,2.2,3.6,3.1,183,D
38,FRO,CHI,Bwin,2.2,3.75,3,945,D
38,FRO,CHI,Bwin,2.3,3.7,2.9,1983,D
38,FRO,CHI,Bwin,2.35,3.7,2.85,2361,D
38,FRO,CHI,Bwin,2.35,3.6,2.7,3017,D
