week,home,away,company,win_odds,draw_odds,lose_odds,odds_delta_time,result
34,MGB,DOR,Bet365,2.9,4.2,2.15,103,L
34,MGB,DOR,Bet365,2.75,4.2,2.25,105,L
34,MGB,DOR,Bet365,2.9,4.2,2.15,105,L
34,MGB,DOR,Bet365,2.75,4.2,2.25,145,L
34,MGB,DOR,Bet365,2.87,4.2,2.15,1172,L
34,MGB,DOR,Bet365,2.9,4,2.2,1888,L
34,MGB,DOR,Bet365,3,4,2.15,3573,L
34,MGB,DOR,Bet365,3.1,3.8,2.1,4458,L
34,MGB,DOR,Bet365,2.8,3.75,2.25,6898,L
34,MGB,DOR,Bet365,3.1,3.8,2.1,7273,L
34,MGB,DOR,Bet365,3.2,3.8,2.05,9778,L
34,MGB,DOR,Bet365,3.25,3.8,2,9989,L
34,MGB,DOR,Bet365,3,3.75,2.15,10004,L
34,MGB,DOR,Bet365,2.8,3.75,2.25,15259,L
34,MGB,DOR,Bet365,2.87,3.75,2.25,15708,L
34,MGB,DOR,Bet365,3,3.75,2.15,17526,L
34,MGB,DOR,WilliamHill,2.87,4,2.2,69,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,113,L
34,MGB,DOR,WilliamHill,2.8,4,2.25,117,L
34,MGB,DOR,WilliamHill,2.75,4.2,2.25,120,L
34,MGB,DOR,WilliamHill,2.8,4,2.25,127,L
34,MGB,DOR,WilliamHill,2.75,4.2,2.25,185,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,636,L
34,MGB,DOR,WilliamHill,2.75,4.33,2.2,646,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,1363,L
34,MGB,DOR,WilliamHill,2.75,4.2,2.25,1386,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,1399,L
34,MGB,DOR,WilliamHill,2.8,4,2.25,1428,L
34,MGB,DOR,WilliamHill,2.87,4,2.2,1473,L
34,MGB,DOR,WilliamHill,2.8,4,2.25,1525,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,1532,L
34,MGB,DOR,WilliamHill,2.87,4,2.2,1704,L
34,MGB,DOR,WilliamHill,2.8,4,2.25,1847,L
34,MGB,DOR,WilliamHill,2.87,4,2.2,2054,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,2402,L
34,MGB,DOR,WilliamHill,2.87,4,2.2,2517,L
34,MGB,DOR,WilliamHill,2.8,4.2,2.2,2523,L
34,MGB,DOR,WilliamHill,2.87,4,2.2,4142,L
34,MGB,DOR,WilliamHill,2.9,4.2,2.15,4472,L
34,MGB,DOR,WilliamHill,2.87,4.2,2.15,5995,L
34,MGB,DOR,WilliamHill,2.9,4.2,2.15,5997,L
34,MGB,DOR,WilliamHill,2.87,4.2,2.15,6526,L
34,MGB,DOR,WilliamHill,2.9,4.2,2.15,6528,L
34,MGB,DOR,WilliamHill,2.87,4.2,2.15,7411,L
34,MGB,DOR,WilliamHill,2.9,4.2,2.15,7621,L
34,MGB,DOR,WilliamHill,3,4.2,2.1,7624,L
34,MGB,DOR,WilliamHill,2.9,4.2,2.15,8229,L
34,MGB,DOR,WilliamHill,3,4.2,2.1,8281,L
34,MGB,DOR,WilliamHill,3,4,2.15,8317,L
34,MGB,DOR,WilliamHill,3,4.2,2.1,8341,L
34,MGB,DOR,WilliamHill,3,4,2.15,8430,L
34,MGB,DOR,WilliamHill,3,4.2,2.1,8508,L
